,rank,name,pob,stable,birthdate,height,weight,year,month
258,J4e,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2020,09
259,J4w,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2020,09
260,J5e,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2020,09
261,J5w,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2020,09
262,J6e,Chiyonoo,Kagoshima,Kokonoe,29.05.1991,178,149.6,2020,09
263,J6w,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2020,09
264,J7e,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2020,09
265,J7w,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2020,09
266,J8e,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2020,09
267,J8w,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2020,09
268,J9e,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2020,09
269,J9w,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2020,09
270,J10e,Akiseyama,Aichi,Kise,18.07.1985,183,172.6,2020,09
271,J10w,Midorifuji,Shizuoka,Isegahama,30.08.1996,168,91,2020,09
272,J11e,Hakuyozan,Yamagata,Takadagawa,13.04.1995,185,145.8,2020,09
273,J11w,Chiyonokuni,Mie,Kokonoe,10.07.1990,184,143.8,2020,09
274,J12e,Kizakiumi,Okinawa,Kise,05.05.1995,174,146,2020,09
275,J12w,Daishoho,Mongolia,Oitekaze,28.08.1994,182,140,2020,09
276,J13e,Oki,Niigata,Shikoroyama,12.06.1996,182,153,2020,09
277,J13w,Nishikifuji,Aomori,Isegahama,22.07.1996,180,134,2020,09
278,J14e,Fujiazuma,Tokyo,Tamanoi,19.04.1987,182,183.6,2020,09
279,J14w,Kitaharima,Hyogo,Yamahibiki,28.07.1986,182,121,2020,09
280,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2020,11
281,Y1w,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2020,11
282,O1e,Takakeisho,Hyogo,Chiganoura,05.08.1996,173,149,2020,11
283,O1w,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2020,11
284,O2e,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2020,11
285,S1e,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2020,11
286,S1w,Takanosho,Chiba,Chiganoura,14.11.1994,181.5,128.5,2020,11
287,K1e,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2020,11
288,K1w,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2020,11
289,M1e,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2020,11
290,M1w,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2020,11
291,M2e,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2020,11
292,M2w,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2020,11
293,M3e,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2020,11
294,M3w,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2020,11
295,M4e,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2020,11
296,M4w,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2020,11
297,M5e,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2020,11
298,M5w,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2020,11
299,M6e,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2020,11
300,M6w,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2020,11
301,M7e,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2020,11
302,M7w,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2020,11
303,M8e,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2020,11
304,M8w,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2020,11
305,M9e,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2020,11
306,M9w,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2020,11
307,M10e,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2020,11
308,M10w,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2020,11
309,M11e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2020,11
310,M11w,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2020,11
311,M12e,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2020,11
312,M12w,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2020,11
313,M13e,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2020,11
314,M13w,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2020,11
315,M14e,Chiyonokuni,Mie,Kokonoe,10.07.1990,184,143.8,2020,11
316,M14w,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2020,11
317,M15e,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2020,11
318,M15w,Kotoyuki,Kagawa,Sadogatake,02.04.1991,176,162.4,2020,11
319,M16e,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2020,11
320,M16w,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2020,11
321,M17e,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2020,11
322,J1e,Akiseyama,Aichi,Kise,18.07.1985,183,172.6,2020,11
323,J1w,Chiyonoo,Kagoshima,Kokonoe,29.05.1991,178,149.6,2020,11
324,J2e,Midorifuji,Shizuoka,Isegahama,30.08.1996,168,91,2020,11
325,J2w,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2020,11
326,J3e,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2020,11
327,J3w,Kotoshogiku,Fukuoka,Sadogatake,30.01.1984,180,177,2020,11
328,J4e,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2020,11
329,J4w,Nishikigi,Iwate,Isenoumi,25.08.1990,184.5,149.5,2020,11
330,J5e,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2020,11
331,J5w,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2020,11
332,J6e,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2020,11
333,J6w,Wakamotoharu,Fukushima,Arashio,05.10.1993,185,127.2,2020,11
334,J7e,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2020,11
335,J7w,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2020,11
336,J8e,Kyokutaisei,Hokkaido,Tomozuna,18.10.1989,184,128.2,2020,11
337,J8w,Ikioi,Osaka,Isenoumi,11.10.1986,194,157,2020,11
338,J9e,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2020,11
339,J9w,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2020,11
340,J10e,Hakuyozan,Yamagata,Takadagawa,13.04.1995,185,145.8,2020,11
341,J10w,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2020,11
342,J11e,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2020,11
343,J11w,Abi,Saitama,Shikoroyama,04.05.1994,185,121,2020,11
344,J12e,Takagenji,Tochigi,Chiganoura,13.05.1997,186,126.2,2020,11
345,J12w,Jokoryu,Tokyo,Kise,07.08.1988,187,162.4,2020,11
346,J13e,Ura,Osaka,Kise,22.06.1992,172,113,2020,11
347,J13w,Nishikifuji,Aomori,Isegahama,22.07.1996,180,134,2020,11
348,J14e,Fujiazuma,Tokyo,Tamanoi,19.04.1987,182,183.6,2020,11
349,J14w,Chiyonoumi,Kochi,Kokonoe,11.01.1993,182,128,2020,11
